Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
21,33359,36094,39146,42683,46437,50401,54580,59003,63674,68552,73196,77126,80640,84103,87531,90966,94445,97996,101663,105453,109210,112863,116428,119815,122939,125680,127925,129570,130982,132512,133318,133699,134510,135524,136486,137470,138551,139669,140958,142264,143539,144952,146374,147427,148001,148215
22,31918,34659,37435,40527,44120,47938,51969,56219,60714,65456,70032,73974,77542,81055,84506,87917,91334,94792,98315,101948,105621,109310,112996,116586,120041,123209,125887,128118,129895,131374,132112,132404,133092,134023,134995,136012,137118,138268,139567,140921,142353,143783,145176,146560,147568,148088
23,30629,33212,35998,38807,41946,45604,49488,53589,57911,62477,66935,70843,74440,78005,81504,84937,88327,91722,95151,98638,102179,105818,109544,113261,116919,120411,123518,126180,128541,130391,131090,131299,131870,132672,133573,134602,135694,136828,138142,139496,141002,142614,144020,145375,146716,147669
24,29474,31911,34535,37359,40209,43400,47123,51077,55250,59640,63935,67755,71334,74928,78480,81962,85376,88745,92110,95504,98925,102459,106136,109898,113681,117371,120812,123906,126695,129134,130220,130377,130840,131516,132297,133259,134316,135397,136676,138034,139566,141273,142854,144224,145540,146824
25,28433,30731,33206,35865,38734,41630,44874,48665,52689,56930,61063,64749,68254,71829,75410,78946,82409,85801,89141,92473,95831,99276,102850,106566,110392,114204,117850,121279,124495,127364,129061,129599,129982,130539,131208,132056,133003,134012,135221,136536,138094,139840,141511,143060,144394,145653
26,27470,29657,31991,34499,37200,40117,43058,46356,50215,54305,58299,61850,65234,68735,72300,75867,79385,82828,86193,89501,92827,96240,99724,103337,107113,110964,114741,118382,121926,125223,127377,128521,129256,129727,130289,131028,131822,132688,133810,135050,136582,138365,140072,141711,143227,144503
27,26571,28651,30871,33233,35779,38525,41490,44478,47828,51750,55605,59044,62305,65684,69175,72726,76277,79777,83195,86531,89864,93272,96723,100251,103922,107721,111545,115318,119064,122688,125295,126895,128214,129032,129518,130156,130807,131490,132458,133607,135078,136844,138587,140264,141872,143331
28,25789,27703,29812,32059,34456,37043,39832,42844,45876,49275,52972,56295,59455,62711,66080,69558,73095,76629,80107,83497,86887,90333,93782,97275,100856,104547,108324,112146,116014,119839,122801,124857,126612,128009,128849,129413,129934,130450,131229,132225,133618,135327,137048,138762,140412,141966
29,25036,26866,28803,30936,33215,35649,38273,41105,44165,47237,50410,53597,56652,59806,63053,66411,69875,73396,76910,80361,83836,87366,90850,94342,97886,101487,105161,108934,112843,116790,119976,122392,124585,126412,127839,128760,129185,129554,130161,130969,132213,133846,135511,137207,138897,140494
30,24224,26052,27904,29861,32023,34333,36801,39465,42339,45439,48289,50964,53894,56944,60089,63323,66668,70119,73622,77110,80674,84315,87884,91413,94952,98516,102102,105771,109625,113609,116940,119587,122121,124380,126240,127745,128509,128771,129231,129875,130935,132416,134005,135648,137326,138967
31,23408,25174,27024,28893,30873,33065,35407,37908,40608,43518,46406,48774,51197,54122,57163,60297,63519,66851,70283,73762,77387,81140,84821,88436,92010,95571,99123,102703,106448,110376,113764,116558,119309,121902,124196,126132,127469,128069,128423,128925,129819,131110,132553,134124,135755,137387
32,22622,24294,26082,27949,29839,31842,34060,36432,38964,41696,44398,46821,48946,51363,54279,57309,60431,63642,66956,70366,74005,77841,81635,85360,89020,92618,96169,99716,103366,107180,110526,113381,116265,119066,121694,124058,125826,127005,127699,128105,128852,129968,131225,132654,134220,135809
33,21872,23444,25132,26936,28825,30735,32758,35002,37400,39959,42488,44742,46932,49050,51457,54363,57384,60495,63690,66984,70575,74439,78315,82157,85928,89610,93201,96749,100360,104075,107320,110134,113067,115997,118830,121523,123726,125347,126619,127372,128012,128966,130056,131308,132739,134270
34,21145,22633,24220,25920,27742,29651,31579,33622,35889,38311,40671,42769,44800,46984,49093,51490,54386,57397,60494,63670,67161,70991,74896,78820,82704,86501,90181,93767,97375,101050,104208,106921,109802,112771,115728,118619,121163,123238,124953,126292,127262,128097,129036,130127,131390,132793
35,20444,21849,23348,24944,26660,28500,30425,32369,34430,36716,38945,40892,42776,44800,46976,49076,51465,54353,57350,60430,63817,67558,71429,75381,79347,83257,87052,90730,94372,98040,101165,103791,106560,109472,112467,115478,118238,120676,122843,124626,126160,127310,128141,129091,130202,131445
36,19761,21093,22508,24015,25623,27355,29209,31150,33109,35183,37283,39115,40857,42735,44752,46920,49014,51396,54271,57253,60554,64197,67977,71892,75885,79878,83789,87583,91313,95014,98139,100733,103407,106202,109135,112176,115075,117753,120279,122516,124472,126172,127334,128184,129163,130262
37,19085,20363,21704,23122,24638,26259,28003,29871,31826,33797,35689,37408,39045,40782,42653,44663,46826,48913,51284,54146,57356,60919,64600,68422,72375,76394,80389,84300,88143,91932,95098,97691,100324,103018,105832,108804,111756,114596,117358,119953,122337,124446,126175,127365,128252,129227
38,18414,19642,20925,22268,23695,25222,26852,28605,30485,32452,34248,35775,37308,38940,40672,42538,44544,46701,48781,51141,54235,57708,61304,65022,68878,72855,76876,80875,84837,88739,91999,94633,97258,99907,102616,105464,108370,111286,114205,117032,119750,122275,124429,126191,127424,128317
39,17727,18928,20162,21447,22796,24231,25765,27403,29167,31057,32856,34305,35655,37185,38813,40539,42401,44403,46553,48623,51216,54571,58073,61704,65454,69332,73314,77344,81392,85411,88790,91519,94179,96815,99475,102214,105018,107912,110900,113880,116806,119652,122237,124432,126245,127488
40,17004,18206,19411,20646,21937,23292,24733,26273,27918,29691,31422,32890,34168,35516,37042,38666,40390,42249,44244,46385,48689,51540,54921,58455,62111,65877,69762,73757,77834,81940,85444,88296,91046,93713,96359,99044,101760,104570,107528,110571,113625,116672,119595,122226,124474,126303
41,16225,17447,18655,19861,21101,22397,23757,25202,26748,28400,30019,31435,32744,34020,35365,36887,38507,40229,42082,44069,46442,48997,51870,55277,58831,62503,66280,70184,74227,78362,81959,84937,87804,90558,93233,95902,98583,101321,104190,107197,110292,113460,116596,119567,122256,124523
42,15486,16636,17865,19074,20285,21530,22829,24193,25643,27194,28700,30020,31285,32590,33864,35205,36725,38344,40059,41905,44121,46740,49310,52201,55624,59190,62878,66681,70631,74728,78363,81443,84434,87303,90063,92758,95438,98156,100945,103854,106894,110101,113372,116556,119584,122290
43,14764,15868,17023,18255,19470,20686,21934,23237,24604,26058,27470,28691,29867,31129,32431,33702,35042,36559,38172,39882,41951,44404,47035,49619,52520,55951,59539,63259,67105,71108,74715,77841,80929,83920,86794,89572,92292,95020,97782,100607,103534,106682,109999,113314,116554,119600
44,14060,15119,16228,17386,18626,19848,21066,22317,23622,24992,26314,27455,28539,29713,30971,32269,33539,34878,36390,37997,39922,42219,44680,47323,49913,52814,56273,59901,63663,67560,71083,74189,77321,80409,83406,86296,89110,91884,94647,97436,100264,103298,106565,109925,113293,116548
45,13445,14391,15455,16567,17732,18979,20203,21425,22680,23989,25231,26295,27305,28387,29558,30813,32109,33376,34710,36217,38032,40175,42476,44946,47592,50174,53108,56616,60282,64089,67518,70554,73667,76798,79890,82902,85835,88705,91509,94295,97077,100010,103168,106474,109884,113264
46,12841,13755,14706,15771,16889,18062,19313,20542,21768,23025,24213,25210,26149,27158,28237,29403,30655,31950,33213,34541,36247,38269,40415,42720,45188,47825,50447,53434,56974,60682,64035,66992,70032,73145,76281,79388,82444,85434,88327,91146,93917,96806,99869,103062,106414,109831
47,12242,13133,14051,15001,16073,17199,18375,19632,20865,22093,23235,24188,25067,26004,27009,28084,29247,30497,31787,33045,34564,36467,38489,40634,42933,45390,48073,50754,53768,57345,60613,63512,66473,69512,72629,75778,78930,82042,85050,87956,90754,93631,96655,99750,102985,106340
48,11654,12518,13411,14330,15285,16365,17495,18674,19937,21174,22292,23209,24049,24926,25859,26860,27932,29094,30339,31623,33062,34767,36666,38684,40822,43108,45615,48363,51064,54108,57264,60095,62997,65955,68998,72127,75321,78527,81653,84672,87552,90457,93471,96524,99658,102895
49,11079,11915,12781,13675,14598,15559,16641,17775,18959,20226,21358,22262,23071,23909,24782,25711,26709,27781,28937,30175,31631,33244,34943,36837,38844,40967,43310,45886,48653,51378,54016,56753,59585,62483,65445,68497,71669,74914,78130,81265,84252,87241,90288,93330,96418,99551
50,10526,11326,12163,13029,13928,14856,15816,16903,18040,19227,20394,21322,22124,22931,23766,24635,25562,26559,27624,28775,30176,31795,33401,35092,36973,38964,41146,43560,46150,48938,51275,53512,56250,59076,61973,64942,68037,71257,74511,77737,80836,83931,87062,90134,93209,96295
51,10009,10762,11563,12399,13269,14172,15100,16062,17151,18290,19382,20356,21187,21985,22787,23618,24484,25410,26402,27463,28765,30318,31929,33525,35201,37063,39117,41374,43799,46407,48821,50778,53014,55742,58567,61469,64477,67621,70851,74115,77301,80506,83743,86896,90000,93071
52,9537,10233,10985,11784,12625,13498,14400,15328,16291,17380,18428,19338,20220,21047,21841,22640,23468,24334,25254,26240,27442,28887,30430,32029,33610,35265,37193,39324,41589,44027,46276,48323,50279,52511,55235,58058,60999,64058,67212,70451,73669,76957,80307,83566,86748,89845
53,9115,9749,10443,11194,11995,12837,13709,14611,15538,16498,17501,18379,19201,20079,20903,21693,22488,23315,24176,25092,26210,27542,28976,30506,32088,33647,35370,37378,39513,41785,43882,45782,47825,49773,52000,54720,57586,60579,63646,66807,69996,73313,76745,80113,83399,86574
54,8748,9317,9947,10637,11387,12189,13029,13898,14798,15722,16600,17442,18239,19059,19932,20750,21538,22333,23155,24011,25048,26288,27610,29029,30541,32102,33730,35532,37540,39682,41627,43390,45285,47315,49259,51483,54245,57165,60167,63242,66347,69629,73089,76537,79931,83210
55,8434,8940,9502,10126,10815,11566,12364,13200,14067,14961,15806,16536,17303,18098,18912,19779,20595,21382,22173,22991,23959,25108,26335,27640,29040,30528,32159,33868,35669,37680,39509,41137,42892,44772,46793,48731,51003,53823,56749,59756,62770,65962,69388,72864,76337,79724
56,8164,8612,9109,9664,10285,10972,11718,12512,13343,14202,15023,15731,16393,17158,17949,18758,19624,20439,21222,22009,22930,23999,25135,26345,27629,29004,30563,32273,33978,35780,37493,39018,40637,42375,44243,46255,48246,50584,53408,56336,59275,62373,65710,69151,72649,76113
57,7927,8330,8768,9255,9807,10426,11105,11844,12632,13456,14247,14942,15589,16249,17010,17796,18604,19469,20281,21061,21941,22953,24007,25124,26312,27572,29018,30656,32360,34061,35580,37004,38516,40116,41842,43697,45764,47827,50169,52993,55849,58869,62110,65461,68921,72410
58,7709,8080,8471,8899,9381,9927,10537,11210,11941,12720,13481,14159,14800,15445,16101,16858,17642,18449,19309,20118,20981,21941,22939,23976,25071,26235,27565,29089,30720,32420,33852,35093,36502,37995,39580,41292,43208,45346,47411,49751,52497,55430,58593,61846,65213,68661
59,7495,7846,8205,8584,9006,9483,10019,10620,11286,12009,12730,13387,14016,14655,15296,15948,16702,17486,18290,19146,20028,20962,21909,22890,23906,24978,26212,27617,29131,30757,32197,33362,34588,35978,37457,39025,40798,42788,44923,46984,49248,52068,55140,58310,61575,64928
60,7275,7616,7955,8302,8675,9091,9558,10085,10678,11334,12003,12633,13248,13875,14508,15144,15794,16548,17327,18125,19046,19991,20913,21844,22804,23798,24938,26244,27637,29143,30521,31710,32860,34066,35437,36897,38531,40380,42361,44485,46469,48808,51764,54839,58014,61261
61,7041,7378,7706,8033,8374,8743,9148,9606,10125,10707,11314,11903,12495,13106,13726,14353,14987,15636,16383,17156,18011,18987,19921,20829,21742,22682,23742,24951,26245,27631,28903,30040,31210,32338,33526,34878,36404,38111,39947,41913,43956,46016,48489,51442,54518,57671
62,6796,7127,7451,7768,8090,8425,8782,9178,9627,10137,10678,11215,11768,12354,12958,13571,14193,14824,15466,16205,17027,17934,18900,19821,20712,21607,22608,23734,24931,26214,27378,28422,29541,30686,31796,32967,34383,35979,37669,39484,41372,43490,45679,48146,51094,54140
