Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
14,47855,51929,56225,60668,65220,69859,74589,79418,84374,89498,94793,99201,102680,106272,109894,113450,116980,120235,123113,125548,127560,129119,130636,132203,133808,135546,137379,139160,140959,142640,144447,145137,146053,146823,147460,148420,149668,150607,151274,151683,151516,151087,150733,150375,150159,150158,150403
15,45199,49100,53247,57586,62072,66671,71365,76148,81030,86029,91182,95454,98803,102295,105902,109542,113117,116686,119976,122879,125336,127638,129124,130573,132045,133720,135485,137268,139137,140791,142648,143456,144544,145493,146286,146786,147901,149341,150423,151253,151661,151424,151001,150563,150269,149995,150047
16,42516,46309,50264,54436,58800,63315,67953,72685,77506,82414,87419,91581,94827,98163,101639,105234,108865,112452,116023,119308,122205,124865,127122,128495,129771,131362,133032,134694,136544,138239,140059,140969,142387,143528,144493,145064,145771,147165,148846,150291,151144,151597,151371,150821,150442,150057,149825
17,40056,43538,47376,51344,55528,59911,64457,69126,73887,78723,83623,87676,90853,94066,97366,100809,104376,107997,111569,115110,118358,121386,124074,126171,127301,128734,130269,131776,133449,135142,136915,137747,139483,140965,142096,142749,143560,144638,146365,148598,150082,151087,151554,151161,150677,150177,149827
18,37658,41062,44581,48432,52410,56613,61026,65605,70303,75078,79902,83898,87012,90145,93315,96573,99979,103527,107122,110649,114143,117482,120613,123121,124941,126237,127566,128882,130322,131887,133528,134203,136013,137817,139259,140005,140898,142139,143615,146014,148298,150029,151048,151307,150988,150357,149894
19,35441,38685,42131,45662,49532,53536,57778,62230,66844,71562,76332,80305,83412,86482,89576,92705,95927,99313,102832,106383,109863,113427,116922,119883,122128,124082,125244,126319,127500,128891,130276,130690,132413,134293,136026,137045,138009,139325,140987,143179,145632,148245,149988,150766,151113,150630,150033
20,33971,36510,39799,43269,46825,50731,54785,59072,63571,68214,72938,76910,80045,83112,86147,89203,92301,95506,98871,102351,105860,109411,113158,116512,119253,121591,123396,124280,125175,126357,127481,127539,128984,130770,132567,133880,135079,136400,138135,140488,142734,145581,148201,149679,150552,150723,150278
21,32446,35097,37669,40991,44496,48093,52060,56169,60513,65051,69708,73685,76868,79966,83006,86011,89039,92126,95315,98646,102093,105683,109418,113055,116242,119039,121229,122754,123439,124371,125239,124965,125985,127490,129195,130606,132062,133505,135226,137585,139986,142678,145529,147866,149448,150146,150346
22,31096,33611,36306,38896,42261,45818,49482,53513,57683,62074,66636,70597,73826,76979,80055,83070,86052,89072,92143,95307,98611,102154,105912,109573,113097,116306,118971,120891,122209,122955,123556,122996,123582,124659,126096,127469,128993,130558,132372,134629,137031,139924,142619,145175,147616,149023,149747
23,29913,32288,34846,37571,40188,43613,47243,50970,55069,59292,63715,67618,70872,74076,77211,80269,83263,86240,89248,92296,95436,98852,102549,106262,109847,113371,116467,118879,120611,122002,122426,121593,121779,122423,123445,124615,126078,127577,129474,131735,134029,136959,139849,142242,144909,147181,148610
24,28855,31114,33533,36121,38886,41545,45045,48745,52539,56694,60952,64753,67986,71218,74410,77528,80569,83557,86524,89509,92539,95809,99358,103026,106695,110268,113696,116568,118816,120625,121720,120713,120522,120760,121367,122188,123435,124746,126542,128803,131097,133950,136872,139458,141967,144466,146754
25,27919,30052,32353,34803,37432,40247,42959,46529,50297,54146,58343,62009,65170,68386,71609,74787,77889,80926,83905,86849,89820,92998,96382,99914,103564,107207,110700,113938,116673,118998,120543,120222,119756,119613,119837,120304,121199,122178,123759,125842,128133,131003,133842,136466,139168,141516,144029
26,27024,29097,31270,33602,36091,38770,41645,44403,48044,51871,55757,59392,62447,65591,68798,72009,75173,78274,81301,84259,87189,90330,93602,96980,100508,104124,107705,111036,114158,116973,119070,119224,119348,118935,118797,118933,119476,120002,121228,123032,125147,128025,130881,133430,136164,138718,141076
27,26226,28171,30285,32487,34856,37390,40127,43058,45859,49556,53428,56770,59821,62860,65999,69196,72392,75557,78648,81656,84601,87719,90936,94211,97593,101087,104648,108099,111339,114539,117156,117899,118422,118595,118203,118024,118239,118328,119078,120480,122313,125022,127882,130457,133116,135712,138268
28,25573,27333,29316,31457,33693,36107,38697,41486,44466,47302,51043,54394,57175,60210,63243,66373,69558,72754,75910,78984,81977,85130,88314,91537,94819,98164,101609,105070,108450,111763,114800,116101,117149,117720,117926,117531,117439,117125,117421,118309,119742,122173,124862,127451,130131,132661,135256
29,24834,26638,28428,30436,32611,34888,37354,39989,42823,45846,48701,51944,54756,57521,60553,63580,66697,69882,73072,76210,79269,82490,85697,88885,92122,95364,98667,102042,105447,108896,112076,113838,115392,116483,117099,117327,117027,116344,116230,116631,117557,119580,121990,124423,127117,129674,132196
30,24073,25847,27682,29492,31530,33745,36069,38576,41256,44128,47177,49534,52258,55057,57817,60843,63856,66975,70154,73329,76456,79753,83017,86229,89434,92630,95836,99099,102431,105906,109243,111194,113164,114758,115901,116559,116883,115949,115454,115423,115870,117379,119383,121551,124079,126660,129204
31,23328,25026,26832,28689,30524,32597,34857,37219,39764,42477,45375,47947,49793,52505,55301,58056,61071,64086,67201,70366,73531,76902,80238,83508,86736,89902,93066,96263,99493,102892,106273,108425,110546,112556,114204,115405,116157,115815,115064,114641,114663,115680,117169,118942,121200,123625,126186
32,22625,24220,25949,27777,29659,31524,33636,35930,38325,40903,43637,46070,48149,49983,52692,55485,58230,61247,64257,67359,70516,73932,77334,80678,83966,87157,90294,93481,96659,99950,103277,105512,107801,109957,112024,113741,115032,115109,114940,114247,113890,114458,115456,116732,118592,120755,123159
33,21944,23457,25081,26829,28680,30594,32488,34630,36959,39381,41975,44258,46216,48284,50115,52821,55605,58353,61367,64367,67463,70869,74311,77726,81086,84342,87511,90703,93876,97110,100342,102556,104904,107229,109440,111581,113388,114014,114254,114135,113515,113673,114226,115025,116384,118162,120303
34,21285,22721,24258,25897,27665,29545,31491,33411,35578,37929,40366,42523,44348,46298,48365,50191,52890,55677,58423,61428,64426,67769,71200,74653,78086,81418,84652,87907,91091,94318,97508,99658,101963,104344,106723,109015,111239,112404,113186,113468,113425,113287,113433,113805,114686,115973,117729
35,20656,22003,23459,25009,26666,28458,30371,32340,34277,36466,38829,40843,42560,44377,46324,48391,50211,52915,55702,58440,61444,64681,68044,71487,74960,78369,81686,85033,88285,91522,94713,96848,99072,101409,103842,106302,108672,110291,111606,112421,112786,113179,113036,113018,113473,114291,115564
36,20037,21319,22683,24150,25715,27392,29214,31145,33136,35087,37284,39241,40829,42541,44357,46306,48366,50191,52893,55674,58409,61648,64907,68283,71750,75201,78599,82051,85398,88700,91908,94073,96267,98520,100907,103419,105952,107766,109527,110868,111766,112518,112919,112626,112693,113100,113912
37,19417,20650,21948,23318,24797,26380,28080,29919,31870,33874,35828,37631,39184,40768,42480,44297,46240,48306,50130,52827,55608,58571,61831,65100,68499,71948,75391,78943,82400,85798,89078,91283,93496,95713,98016,100475,103056,105085,107031,108816,110240,111477,112248,112515,112316,112346,112753
38,18789,19980,21227,22528,23908,25401,27004,28719,30573,32536,34543,36117,37534,39081,40668,42380,44194,46142,48210,50030,52729,55728,58708,61979,65273,68656,72099,75710,79270,82778,86164,88462,90705,92936,95197,97569,100092,102222,104378,106347,108211,109924,111199,111853,112211,111988,112028
39,18110,19306,20508,21756,23066,24458,25969,27583,29309,31174,33139,34783,35988,37401,38950,40537,42245,44067,46015,48078,49899,52808,55824,58818,62112,65391,68773,72394,76020,79628,83127,85552,87877,90132,92403,94731,97158,99295,101547,103718,105765,107866,109638,110812,111563,111908,111701
40,17359,18581,19788,20992,22248,23565,24972,26492,28115,29848,31712,33332,34623,35825,37241,38792,40376,42089,43910,45856,47917,49947,52871,55898,58912,62193,65474,69040,72678,76350,79960,82516,84958,87294,89583,91914,94290,96392,98639,100904,103152,105391,107580,109264,110536,111285,111652
41,16526,17787,19021,20229,21437,22701,24031,25442,26968,28596,30325,31861,33146,34435,35641,37058,38606,40196,41913,43728,45674,47937,49978,52911,55957,58960,62239,65714,69302,72985,76664,79346,81911,84357,86723,89070,91445,93553,95757,98015,100352,102749,105102,107217,109003,110282,111055
42,15822,16910,18184,19420,20632,21847,23121,24453,25869,27398,29021,30438,31657,32939,34231,35438,36854,38406,39996,41708,43524,45663,47936,49985,52939,55972,58973,62456,65949,69580,73275,76042,78727,81295,83767,86184,88569,90732,92937,95147,97469,99920,102459,104754,106972,108773,110081
43,14987,16170,17267,18543,19783,21002,22225,23500,24837,26253,27775,29101,30218,31433,32718,34011,35215,36637,38189,39774,41485,43489,45634,47916,49981,52918,55950,59159,62663,66198,69844,72646,75414,78099,80688,83208,85661,87883,90131,92334,94605,97013,99634,102127,104525,106763,108594
44,14300,15298,16491,17586,18868,20115,21341,22565,23842,25178,26587,27825,28868,29981,31200,32484,33774,34985,36405,37949,39534,41425,43434,45585,47879,49931,52864,56109,59341,62886,66441,69211,72009,74774,77477,80112,82661,84994,87291,89533,91792,94121,96727,99313,101910,104331,106605
45,13625,14577,15580,16776,17872,19162,20418,21643,22868,24144,25471,26610,27582,28620,29738,30954,32235,33529,34739,36152,37697,39454,41347,43358,45520,47799,49847,53002,56267,59540,63103,65803,68568,71363,74142,76886,79545,82012,84409,86695,88981,91284,93841,96419,99106,101730,104188
46,12942,13872,14830,15833,17030,18131,19429,20686,21913,23137,24403,25475,26362,27328,28370,29488,30699,31980,33274,34476,35889,37595,39353,41249,43267,45415,47685,49959,53135,56443,59731,62460,65153,67913,70718,73538,76302,78906,81428,83810,86135,88453,91004,93540,96216,98932,101590
47,12264,13163,14098,15054,16057,17260,18368,19668,20926,22153,23368,24390,25221,26104,27073,28113,29224,30438,31719,33002,34205,35770,37475,39233,41133,43133,45269,47779,50074,53286,56611,59088,61807,64493,67262,70105,72940,75674,78325,80823,83239,85584,88175,90708,93335,96039,98783
48,11591,12461,13364,14298,15253,16259,17469,18577,19878,21134,22353,23336,24130,24958,25844,26811,27845,28959,30171,31440,32720,34067,35630,37333,39093,40974,42963,45347,47875,50197,53428,55962,58433,61144,63838,66642,69498,72318,75089,77715,80244,82668,85305,87877,90498,93145,95873
49,10932,11767,12640,13540,14473,15432,16442,17654,18759,20062,21310,22308,23074,23865,24695,25579,26540,27577,28687,29887,31150,32566,33913,35469,37174,38911,40777,43022,45422,47977,50316,52782,55308,57769,60486,63209,66022,68878,71728,74473,77122,79651,82381,84998,87647,90283,92948
50,10299,11090,11928,12798,13698,14633,15594,16602,17813,18918,20212,21253,22044,22807,23599,24426,25304,26267,27298,28397,29592,30984,32394,33731,35286,36970,38691,40819,43079,45502,48070,49673,52128,54643,57111,59853,62584,65406,68284,71107,73871,76513,79352,82062,84744,87402,90047
51,9708,10443,11234,12069,12937,13837,14775,15734,16738,17949,19044,20141,20986,21772,22535,23326,24147,25027,25984,27003,28095,29408,30792,32195,33531,35064,36727,38717,40858,43133,45566,47420,49020,51466,53981,56473,59218,61966,64811,67661,70499,73241,76193,79012,81777,84461,87119
52,9168,9840,10574,11361,12192,13061,13963,14896,15850,16853,18055,18963,19874,20712,21499,22261,23042,23866,24740,25686,26701,27899,29204,30577,31973,33288,34801,36736,38735,40888,43174,44917,46762,48360,50802,53339,55832,58600,61366,64181,67043,69843,72899,75826,78690,81450,84129
53,8688,9291,9960,10689,11471,12301,13169,14066,14992,15944,16935,17960,18695,19599,20435,21221,21972,22757,23576,24437,25376,26490,27680,28971,30337,31710,33004,34792,36732,38742,40901,42525,44260,46096,47699,50156,52688,55214,57998,60735,63557,66366,69474,72500,75464,78316,81060
54,8261,8800,9401,10062,10783,11564,12392,13253,14142,15065,16002,16827,17689,18419,19320,20154,20927,21683,22463,23267,24124,25153,26254,27433,28715,30054,31402,32974,34764,36713,38726,40250,41865,43591,45425,47049,49500,52069,54609,57359,60103,62856,65965,69044,72097,75045,77873
55,7892,8368,8900,9491,10145,10863,11639,12459,13310,14193,15101,15882,16558,17412,18142,19036,19858,20634,21383,22149,22949,23885,24903,25993,27158,28415,29730,31357,32926,34722,36669,38076,39589,41192,42915,44761,46386,48882,51457,53969,56724,59381,62426,65503,68602,71632,74551
56,7568,7990,8458,8980,9562,10210,10922,11689,12498,13341,14207,14968,15613,16283,17135,17859,18741,19563,20331,21067,21826,22697,23623,24627,25703,26844,28074,29664,31286,32860,34652,36019,37414,38917,40513,42244,44083,45771,48269,50816,53328,55979,58917,61930,65021,68095,71089
57,7275,7659,8071,8527,9039,9612,10253,10952,11706,12505,13331,14062,14698,15337,16007,16850,17565,18445,19260,20013,20742,21567,22425,23333,24326,25377,26491,27993,29578,31196,32765,34005,35359,36738,38232,39837,41557,43464,45161,47628,50171,52564,55487,58395,61417,64479,67512
58,7001,7358,7731,8129,8573,9075,9640,10266,10953,11695,12473,13175,13793,14423,15062,15726,16557,17272,18143,18942,19690,20471,21281,22124,23023,23989,25014,26393,27885,29463,31077,32119,33345,34682,36051,37550,39140,40939,42847,44523,46981,49390,52046,54939,57853,60846,63868
59,6734,7074,7418,7777,8162,8594,9086,9637,10246,10920,11642,12310,12909,13521,14150,14784,15437,16266,16974,17827,18618,19407,20176,20973,21804,22676,23620,24902,26273,27755,29321,30433,31465,32673,33997,35370,36850,38525,40320,42202,43873,46185,48851,51481,54375,57258,60211
60,6468,6796,7123,7452,7796,8169,8591,9066,9599,10196,10848,11470,12047,12640,13251,13876,14497,15152,15973,16664,17509,18331,19108,19862,20644,21451,22303,23494,24762,26121,27591,28684,29780,30794,31987,33313,34668,36238,37908,39672,41539,43069,45632,48270,50903,53769,56611
61,6197,6517,6831,7142,7456,7787,8149,8553,9012,9531,10107,10670,11213,11784,12376,12981,13595,14218,14866,15665,16351,17217,18026,18787,19529,20288,21074,22164,23339,24593,25937,26963,28038,29112,30111,31307,32611,34059,35621,37255,39000,40718,42506,45041,47680,50288,53111
62,5923,6230,6536,6835,7130,7432,7752,8096,8483,8930,9426,9924,10421,10959,11527,12114,12707,13319,13934,14565,15354,16057,16908,17701,18449,19168,19907,20919,21991,23151,24392,25320,26326,27378,28432,29435,30606,32004,33436,34960,36569,38169,40138,41910,44447,47058,49628
63,5654,5940,6233,6523,6807,7089,7380,7682,8011,8384,8810,9240,9683,10172,10707,11270,11843,12433,13038,13635,14259,15055,15746,16579,17358,18085,18786,19738,20731,21787,22930,23781,24690,25672,26703,27755,28734,29997,31374,32767,34261,35735,37583,39533,41316,43824,46394
64,5389,5652,5924,6202,6477,6749,7021,7294,7581,7896,8252,8619,9004,9441,9928,10456,11003,11572,12154,12739,13327,13958,14740,15415,16236,16994,17700,18597,19533,20509,21549,22328,23159,24041,25000,26026,27051,28124,29365,30695,32056,33423,35144,36977,38932,40696,43163
65,5129,5370,5619,5877,6140,6404,6665,6921,7180,7455,7753,8060,8390,8769,9202,9682,10193,10736,11295,11855,12428,13022,13640,14408,15073,15869,16604,17495,18376,19291,20250,20950,21712,22517,23379,24329,25324,26435,27480,28676,29969,31219,32832,34537,36372,38304,40035
66,4865,5089,5317,5553,5798,6050,6305,6551,6793,7043,7301,7559,7835,8159,8536,8960,9422,9929,10460,10995,11544,12123,12706,13312,14064,14710,15482,16384,17255,18116,19016,19660,20341,21076,21859,22710,23633,24704,25782,26783,27937,29135,30627,32225,33930,35740,37633
67,4593,4809,5021,5237,5461,5694,5941,6180,6414,6648,6881,7106,7337,7607,7928,8295,8703,9161,9652,10159,10682,11235,11803,12374,12968,13699,14325,15245,16127,16979,17825,18430,19056,19711,20422,21199,22020,23009,24047,25075,26036,27111,28547,30024,31617,33295,35066
68,4301,4519,4724,4925,5130,5346,5574,5806,6034,6261,6480,6684,6888,7113,7380,7691,8042,8443,8886,9353,9844,10375,10917,11473,12031,12610,13319,14076,14976,15839,16676,17244,17831,18430,19064,19766,20511,21396,22348,23331,24315,25218,26526,27942,29411,30975,32611
69,3990,4216,4423,4617,4808,5007,5217,5431,5652,5874,6088,6281,6466,6665,6885,7144,7439,7783,8168,8585,9037,9539,10059,10589,11133,11675,12233,13056,13798,14676,15523,16101,16654,17212,17791,18416,19089,19886,20734,21633,22569,23510,24637,25926,27329,28767,30283
70,3661,3893,4108,4305,4491,4676,4869,5068,5274,5490,5700,5888,6064,6242,6436,6650,6892,7179,7509,7871,8270,8737,9230,9735,10253,10778,11300,11965,12767,13491,14353,14957,15514,16042,16576,17149,17745,18462,19224,20019,20872,21777,22926,24035,25309,26673,28057
71,3323,3556,3778,3984,4173,4352,4533,4717,4907,5109,5313,5500,5671,5838,6014,6199,6397,6633,6907,7211,7558,7978,8433,8909,9402,9901,10407,11022,11668,12452,13161,13797,14380,14908,15412,15942,16482,17116,17800,18513,19262,20095,21198,22324,23413,24643,25950
72,2989,3213,3435,3648,3845,4029,4205,4377,4555,4741,4932,5113,5281,5444,5608,5773,5943,6136,6359,6610,6900,7268,7678,8117,8582,9056,9533,10122,10720,11348,12118,12622,13233,13785,14288,14784,15283,15858,16460,17095,17765,18504,19517,20593,21689,22734,23905
73,2671,2877,3090,3303,3507,3698,3878,4046,4212,4386,4563,4731,4894,5054,5212,5366,5515,5680,5861,6061,6298,6616,6976,7370,7795,8239,8690,9243,9816,10400,11017,11590,12071,12649,13173,13668,14134,14663,15206,15764,16359,17022,17928,18911,19952,21000,21983
74,2377,2559,2754,2958,3162,3360,3547,3719,3880,4044,4208,4362,4511,4665,4819,4968,5106,5252,5404,5563,5753,6024,6329,6674,7055,7460,7880,8398,8937,9491,10065,10503,11051,11505,12052,12564,13031,13519,14017,14520,15040,15631,16447,17320,18267,19254,20235
75,2113,2267,2439,2626,2820,3017,3210,3388,3552,3711,3866,4007,4140,4281,4429,4574,4707,4842,4977,5110,5261,5484,5742,6036,6365,6726,7108,7590,8093,8614,9158,9564,9984,10498,10926,11460,11941,12426,12887,13347,13811,14328,15059,15839,16675,17566,18483
76,1878,2005,2150,2314,2491,2679,2870,3053,3223,3385,3535,3665,3786,3913,4048,4186,4316,4445,4568,4685,4809,4995,5208,5454,5733,6045,6382,6821,7288,7774,8287,8676,9064,9455,9939,10356,10856,11350,11806,12231,12656,13115,13756,14450,15194,15975,16795
77,1668,1774,1893,2031,2186,2356,2537,2718,2892,3059,3210,3336,3447,3561,3683,3809,3932,4058,4176,4283,4391,4551,4728,4929,5162,5423,5712,6103,6528,6978,7454,7820,8192,8551,8919,9388,9776,10285,10750,11171,11562,11974,12543,13151,13808,14496,15206
78,1480,1567,1665,1778,1907,2056,2220,2390,2561,2730,2886,3013,3120,3225,3334,3447,3561,3680,3796,3899,3999,4138,4290,4455,4644,4860,5100,5440,5818,6227,6667,7010,7357,7701,8037,8392,8828,9230,9709,10135,10519,10896,11404,11941,12511,13113,13734
79,1312,1384,1464,1556,1662,1786,1928,2082,2242,2408,2566,2696,2804,2904,3005,3108,3208,3317,3427,3527,3623,3752,3883,4024,4177,4351,4546,4839,5167,5528,5925,6244,6569,6889,7206,7533,7864,8307,8680,9119,9510,9871,10328,10807,11304,11822,12360
80,1159,1220,1287,1362,1448,1549,1667,1799,1943,2098,2251,2384,2496,2597,2693,2787,2877,2975,3076,3170,3263,3384,3505,3626,3755,3894,4049,4297,4576,4888,5238,5526,5825,6122,6418,6726,7026,7367,7778,8119,8518,8879,9311,9735,10178,10626,11083
81,1019,1073,1129,1191,1260,1342,1437,1546,1670,1807,1949,2078,2193,2298,2395,2485,2567,2656,2746,2832,2921,3033,3145,3254,3365,3480,3604,3810,4045,4311,4613,4865,5133,5407,5681,5966,6245,6556,6869,7244,7550,7914,8328,8726,9118,9512,9906
82,887,937,986,1038,1095,1161,1238,1326,1427,1544,1669,1789,1901,2008,2108,2198,2277,2357,2438,2515,2596,2699,2802,2903,3002,3101,3202,3374,3570,3792,4046,4261,4496,4739,4989,5252,5509,5799,6083,6366,6701,6973,7374,7757,8124,8471,8811
83,766,811,855,900,948,1001,1063,1133,1214,1310,1416,1522,1626,1730,1830,1922,2001,2077,2151,2219,2291,2382,2476,2569,2660,2747,2833,2981,3143,3326,3537,3718,3917,4128,4349,4587,4822,5089,5351,5605,5858,6151,6456,6826,7176,7497,7796
84,654,696,736,776,817,861,912,968,1032,1108,1194,1282,1374,1470,1567,1660,1740,1816,1885,1947,2011,2089,2170,2255,2339,2418,2492,2622,2759,2910,3085,3234,3398,3577,3766,3976,4188,4429,4670,4903,5126,5336,5655,5935,6269,6576,6850
85,550,588,625,661,698,736,777,822,873,933,1001,1072,1149,1233,1322,1411,1491,1568,1637,1695,1753,1819,1889,1961,2037,2109,2177,2291,2411,2539,2682,2801,2936,3082,3240,3419,3605,3821,4039,4250,4454,4635,4869,5157,5409,5703,5965
86,457,491,524,558,590,623,659,695,735,783,836,891,953,1024,1102,1182,1259,1335,1404,1461,1515,1572,1631,1693,1757,1822,1884,1986,2091,2200,2321,2418,2526,2644,2772,2921,3078,3268,3459,3649,3832,3997,4195,4405,4664,4880,5130
87,374,404,434,463,492,522,553,583,616,653,695,738,786,842,907,977,1046,1117,1185,1242,1295,1346,1396,1449,1503,1559,1614,1704,1798,1893,1994,2076,2163,2258,2360,2480,2609,2768,2934,3103,3264,3406,3583,3762,3948,4168,4349
88,301,326,353,379,404,430,458,484,512,542,574,607,645,689,740,797,856,920,983,1039,1091,1138,1183,1228,1274,1321,1368,1446,1529,1613,1700,1770,1843,1918,1997,2092,2195,2326,2465,2608,2749,2872,3023,3179,3336,3494,3679
89,239,260,283,305,328,351,374,397,421,446,471,497,526,560,599,644,692,746,802,854,904,949,991,1030,1069,1109,1148,1215,1286,1359,1435,1496,1559,1617,1680,1753,1832,1938,2051,2169,2287,2394,2522,2654,2790,2919,3045
90,185,203,222,241,260,280,300,320,340,362,383,403,426,452,482,516,553,597,643,689,735,777,817,853,887,920,953,1008,1067,1129,1195,1249,1304,1354,1403,1458,1519,1603,1692,1786,1881,1969,2075,2189,2304,2414,2517
91,141,156,171,186,202,219,237,254,271,289,307,324,342,362,385,411,438,472,509,546,585,623,660,695,726,755,783,827,875,926,982,1029,1077,1118,1158,1203,1249,1313,1383,1456,1529,1599,1686,1778,1873,1967,2053
92,105,116,128,141,155,168,183,197,212,227,242,256,271,286,304,323,344,369,397,426,458,490,523,554,583,610,634,669,708,749,794,835,875,912,946,981,1015,1064,1119,1173,1229,1280,1350,1423,1500,1575,1647
93,76,85,94,103,115,127,138,150,162,175,187,199,211,224,238,252,267,285,306,327,352,377,404,432,458,483,504,533,564,597,633,666,700,731,758,788,814,853,893,935,976,1012,1064,1120,1183,1242,1299
94,54,61,68,75,83,92,102,111,121,132,142,152,162,172,183,194,205,218,233,248,266,285,306,329,351,373,392,417,442,468,497,522,549,573,597,621,642,672,704,735,763,789,827,869,914,961,1006
95,37,42,47,53,59,65,73,80,88,97,105,113,121,129,138,146,155,164,174,185,197,211,227,244,262,280,297,318,338,359,381,401,422,441,460,479,496,521,546,568,590,606,631,662,695,731,763
96,25,28,32,36,41,46,51,57,62,69,75,82,88,95,101,108,114,121,128,135,144,153,164,177,190,204,218,236,253,269,287,303,318,333,347,362,375,395,414,430,447,458,476,495,519,543,567
97,16,19,21,24,27,31,34,39,43,48,52,57,62,67,72,78,82,88,93,98,104,110,117,126,135,145,156,169,183,198,211,223,235,245,255,266,276,292,307,319,331,338,349,365,380,394,411
98,10,12,13,15,17,20,22,25,28,32,35,39,43,46,50,54,58,61,65,69,73,76,81,87,93,100,108,118,128,139,150,160,168,176,183,190,198,210,221,231,239,244,253,260,271,281,290
