Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
21,33772,36383,39330,42744,46295,50077,54115,58341,62782,67380,71697,75277,78417,81486,84509,87525,90583,93721,96981,100370,103888,107551,111237,114649,117641,120134,121992,123097,123905,124805,125102,125475,126738,128343,129901,131334,132784,134366,136406,138786,141332,144104,146698,148657,149797,150246
22,32354,34959,37601,40579,44040,47650,51498,55598,59879,64355,68617,72212,75403,78517,81563,84561,87562,90608,93725,96959,100383,104033,107743,111335,114702,117639,119931,121550,122582,123256,123276,123289,124121,125378,126783,128231,129776,131465,133501,135830,138478,141272,143897,146396,148320,149385
23,31101,33567,36209,38880,41901,45428,49107,53020,57181,61504,65667,69245,72474,75644,78740,81766,84752,87744,90772,93866,97144,100701,104406,108055,111609,114919,117673,119745,121307,122214,122010,121686,122101,122934,124030,125347,126828,128526,130605,132882,135494,138404,141046,143576,146045,147896
24,29985,32324,34827,37504,40216,43295,46895,50642,54617,58823,62853,66370,69602,72814,75969,79049,82063,85041,88017,91024,94174,97584,101192,104861,108482,111982,115132,117692,119721,121173,121217,120618,120641,121064,121778,122812,124091,125644,127673,129950,132524,135411,138165,140713,143217,145610
25,28986,31203,33578,36118,38840,41603,44744,48413,52222,56245,60176,63590,66778,69998,73198,76338,79408,82416,85377,88335,91409,94690,98148,101739,105386,108954,112319,115306,117836,119771,120383,119989,119685,119725,120071,120752,121689,122969,124801,126988,129568,132423,135154,137817,140342,142773
26,28061,30184,32436,34847,37431,40208,43024,46224,49958,53814,57575,60920,64019,67195,70404,73591,76724,79788,82780,85724,88760,91966,95291,98744,102316,105915,109371,112597,115566,118022,119147,119286,119142,118866,118865,119205,119739,120615,122130,124090,126586,129453,132156,134797,137441,139897
27,27199,29228,31386,33672,36123,38759,41593,44459,47708,51492,55099,58296,61341,64430,67598,70794,73975,77103,80152,83129,86160,89328,92574,95902,99340,102868,106374,109719,112939,115848,117528,118161,118509,118399,118114,118132,118284,118703,119779,121397,123668,126452,129170,131787,134414,136990
28,26453,28325,30387,32575,34900,37402,40092,42976,45884,49173,52719,55785,58693,61727,64808,67966,71156,74332,77447,80481,83554,86722,89926,93178,96492,99887,103340,106760,110107,113282,115451,116625,117435,117823,117729,117485,117282,117273,117865,119026,120958,123518,126157,128791,131396,133959
29,25736,27533,29432,31524,33750,36121,38672,41406,44335,47274,50323,53350,56139,59037,62067,65139,68290,71477,74641,77740,80880,84094,87291,90504,93743,97016,100355,103745,107172,110486,112957,114615,115938,116791,117213,117177,116686,116287,116431,117094,118569,120785,123207,125770,128396,130935
30,24960,26765,28587,30511,32638,34907,37323,39916,42692,45653,48356,50896,53658,56437,59330,62350,65416,68565,71742,74893,78105,81385,84623,87832,91032,94233,97468,100765,104169,107575,110219,112179,113961,115330,116230,116721,116416,115702,115439,115647,116625,118381,120467,122815,125370,127932
31,24177,25929,27761,29607,31561,33727,36038,38492,41121,43926,46661,48870,51149,53903,56679,59564,62579,65644,68784,71949,75217,78570,81873,85122,88319,91484,94665,97878,101193,104583,107349,109486,111551,113380,114805,115781,115986,115440,114853,114652,115172,116425,118056,120071,122413,124906
32,23423,25085,26863,28718,30592,32580,34783,37128,39614,42270,44854,47110,49066,51338,54089,56858,59739,62752,65808,68938,72224,75633,79006,82322,85562,88726,91888,95070,98305,101614,104395,106657,108879,110991,112883,114387,115071,115025,114594,114069,114174,114957,116094,117662,119674,121957
33,22701,24269,25955,27755,29637,31541,33559,35795,38170,40678,43117,45237,47250,49200,51468,54213,56979,59860,62867,65915,69166,72590,76019,79406,82714,85927,89107,92290,95493,98726,101449,103730,106067,108335,110511,112485,113701,114134,114195,113825,113594,113950,114626,115705,117273,119233
34,22003,23490,25078,26781,28605,30518,32451,34495,36754,39148,41445,43436,45323,47332,49278,51541,54284,57050,59926,62927,66098,69485,72927,76370,79752,83035,86280,89499,92705,95913,98583,100811,103154,105534,107869,110127,111822,112795,113327,113447,113356,113360,113619,114246,115330,116851
35,21330,22731,24234,25838,27562,29415,31356,33309,35372,37648,39836,41702,43469,45351,47358,49301,51563,54309,57071,59942,63063,66363,69766,73224,76665,80028,83360,86659,89904,93118,95781,97960,100241,102626,105072,107487,109482,110949,112014,112604,112983,113108,113027,113246,113882,114928
36,20678,22001,23417,24933,26554,28303,30180,32141,34112,36186,38263,40035,41685,43449,45332,47336,49279,51542,54284,57042,60029,63278,66595,70017,73476,76900,80325,83725,87049,90304,92991,95170,97394,99714,102163,104686,106859,108647,110198,111317,112142,112719,112773,112660,112897,113506
37,20034,21299,22633,24058,25589,27230,29000,30895,32872,34851,36730,38408,39976,41624,43389,45269,47273,49218,51479,54218,57090,60201,63466,66800,70224,73670,77167,80672,84099,87438,90181,92390,94605,96865,99246,101766,104071,106058,107924,109528,110859,111863,112382,112416,112331,112550
38,19385,20604,21878,23218,24655,26203,27862,29646,31555,33540,35330,36826,38308,39875,41524,43287,45168,47176,49120,51380,54229,57218,60344,63626,66965,70378,73905,77490,81024,84471,87313,89584,91821,94067,96383,98831,101157,103300,105363,107279,109068,110562,111526,112032,112100,112008
39,18708,19907,21132,22411,23762,25214,26776,28446,30242,32157,33961,35386,36695,38176,39744,41391,43156,45041,47047,48989,51354,54316,57321,60465,63752,67082,70584,74207,77824,81378,84340,86715,89005,91268,93567,95945,98227,100421,102633,104742,106816,108752,110225,111188,111736,111805
40,17970,19185,20390,21620,22907,24269,25732,27304,28982,30780,32522,33978,35224,36533,38017,39584,41233,43000,44883,46887,48932,51409,54385,57405,60553,63834,67257,70859,74514,78155,81238,83737,86126,88439,90749,93102,95341,97516,99772,102028,104272,106486,108422,109900,110911,111469
41,17157,18404,19625,20833,22069,23366,24737,26205,27782,29461,31093,32504,33791,35038,36350,37832,39401,41055,42821,44701,46806,48958,51445,54434,57459,60600,63977,67508,71144,74825,78005,80629,83134,85540,87897,90258,92499,94655,96886,99184,101551,103926,106160,108110,109643,110669
42,16366,17547,18802,20026,21240,22484,23787,25161,26634,28210,29730,31048,32298,33585,34835,36146,37630,39201,40852,42616,44594,46800,48961,51462,54456,57473,60715,64203,67765,71428,74659,77385,80011,82531,84976,87377,89651,91835,94042,96308,98695,101190,103607,105863,107873,109427
43,15579,16719,17905,19163,20393,21614,22863,24169,25545,27014,28438,29660,30826,32076,33365,34613,35926,37413,38982,40630,42487,44562,46775,48949,51450,54434,57555,60911,64431,68021,71245,74030,76757,79394,81948,84435,86772,89007,91233,93470,95809,98324,100881,103326,105644,107679
44,14799,15895,17039,18227,19492,20728,21953,23204,24510,25883,27206,28347,29425,30591,31842,33129,34380,35695,37177,38742,40480,42430,44510,46732,48905,51398,54487,57725,61114,64664,67826,70610,73392,76126,78795,81387,83828,86143,88412,90663,92957,95424,98020,100612,103121,105468
45,14101,15079,16178,17324,18517,19790,21031,22256,23506,24808,26041,27096,28101,29179,30346,31595,32882,34134,35446,36925,38576,40401,42353,44439,46660,48823,51425,54635,57904,61322,64453,67186,69966,72753,75514,78216,80779,83211,85552,87838,90133,92563,95130,97763,100418,102959
46,13407,14351,15332,16432,17581,18780,20058,21300,22525,23770,24939,25919,26845,27849,28929,30094,31340,32627,33875,35183,36742,38474,40301,42258,44341,46550,48822,51547,54789,58087,61096,63807,66533,69316,72128,74920,77604,80167,82619,84973,87294,89729,92272,94878,97574,100261
47,12714,13631,14576,15556,16659,17814,19018,20297,21540,22761,23879,24806,25663,26589,27593,28669,29831,31079,32361,33604,34988,36623,38354,40183,42133,44201,46524,48927,51680,54949,57850,60448,63150,65878,68684,71523,74307,77000,79574,82031,84412,86880,89442,92022,94687,97411
48,12026,12913,13831,14776,15756,16864,18023,19228,20506,21744,22845,23733,24544,25401,26328,27328,28402,29565,30806,32080,33394,34849,36482,38213,40034,41969,44155,46611,49036,51813,54695,57198,59789,62491,65240,68070,70908,73704,76402,78980,81456,83987,86591,89188,91822,94509
49,11350,12204,13090,14007,14953,15937,17048,18207,19411,20686,21809,22691,23470,24280,25137,26060,27059,28132,29287,30519,31858,33240,34691,36322,38043,39844,41900,44222,46700,49147,51549,54045,56539,59128,61848,64616,67450,70303,73101,75798,78387,81016,83690,86323,88965,91616
50,10695,11509,12363,13248,14166,15114,16098,17208,18366,19565,20733,21649,22426,23203,24013,24865,25786,26783,27848,28995,30288,31689,33063,34509,36128,37831,39755,41949,44291,46786,48872,50901,53386,55877,58482,61219,63995,66845,69696,72489,75192,77933,80707,83403,86073,88725
51,10076,10839,11652,12503,13387,14306,15255,16236,17344,18497,19593,20564,21379,22154,22931,23737,24587,25506,26494,27549,28752,30100,31494,32863,34298,35896,37722,39788,41996,44350,46493,48220,50243,52724,55227,57846,60592,63389,66236,69080,71870,74717,77603,80395,83119,85790
52,9504,10207,10968,11777,12627,13512,14430,15373,16352,17454,18509,19419,20293,21106,21880,22652,23454,24303,25213,26194,27300,28552,29891,31275,32631,34045,35769,37736,39812,42031,44046,45840,47561,49581,52071,54586,57216,59983,62774,65612,68443,71371,74363,77258,80070,82790
53,8990,9626,10325,11080,11886,12735,13618,14529,15468,16440,17448,18328,19147,20017,20828,21597,22365,23167,24007,24907,25933,27085,28326,29654,31024,32357,33898,35762,37737,39822,41713,43393,45178,46898,48928,51422,53951,56606,59367,62146,64962,67920,70987,73982,76890,79688
54,8531,9101,9732,10423,11174,11978,12823,13698,14604,15534,16415,17258,18054,18870,19737,20541,21305,22073,22865,23696,24639,25704,26844,28074,29385,30728,32188,33869,35739,37720,39488,41058,42728,44508,46237,48275,50785,53339,55984,58731,61480,64411,67505,70571,73571,76459
55,8130,8634,9196,9818,10504,11251,12049,12885,13752,14647,15492,16220,16985,17777,18589,19447,20246,21009,21766,22549,23417,24394,25448,26576,27787,29073,30544,32142,33824,35696,37373,38833,40391,42054,43838,45574,47634,50170,52713,55347,58053,60904,63965,67053,70117,73092
56,7779,8224,8719,9271,9886,10566,11306,12094,12920,13774,14588,15291,15948,16709,17497,18300,19152,19947,20699,21447,22262,23160,24125,25165,26274,27459,28869,30475,32073,33756,35336,36717,38166,39715,41379,43164,44927,47020,49543,52072,54654,57448,60424,63476,66558,69592
57,7467,7865,8299,8783,9326,9933,10603,11329,12106,12918,13697,14380,15018,15672,16429,17208,18005,18853,19637,20378,21155,21996,22879,23830,24852,25934,27242,28786,30387,31981,33385,34682,36049,37485,39035,40697,42511,44313,46395,48900,51368,54026,56941,59906,62948,65996
58,7180,7545,7930,8351,8824,9358,9953,10610,11324,12084,12824,13484,14108,14743,15394,16142,16915,17708,18543,19316,20081,20876,21703,22574,23506,24502,25704,27139,28674,30270,31598,32732,34014,35367,36801,38345,40040,41893,43685,45752,48186,50718,53493,56396,59350,62357
59,6904,7246,7598,7970,8378,8840,9362,9942,10583,11281,11976,12610,13215,13836,14467,15111,15852,16620,17401,18223,19013,19792,20575,21389,22240,23148,24261,25588,27014,28538,29877,30949,32069,33335,34684,36110,37688,39423,41261,43038,45029,47518,50166,52928,55817,58735
60,6632,6960,7288,7624,7983,8380,8829,9333,9898,10522,11159,11759,12344,12946,13564,14187,14825,15563,16319,17087,17920,18720,19485,20253,21048,21877,22899,24128,25442,26856,28138,29232,30287,31391,32650,33991,35453,37073,38790,40606,42304,44351,46951,49587,52336,55190
61,6357,6674,6987,7299,7622,7968,8351,8783,9272,9819,10389,10942,11499,12080,12679,13288,13907,14542,15266,16008,16784,17622,18407,19158,19909,20681,21619,22752,23966,25265,26450,27501,28575,29612,30709,31959,33335,34840,36438,38128,39859,41612,43774,46361,48984,51700
62,6077,6383,6686,6983,7281,7592,7924,8290,8707,9178,9675,10173,10690,11243,11821,12411,13013,13627,14250,14960,15706,16483,17305,18075,18809,19538,20413,21455,22571,23772,24856,25823,26852,27905,28934,30021,31305,32720,34198,35765,37369,39154,41024,43179,45753,48343
63,5797,6087,6378,6665,6948,7235,7531,7847,8198,8597,9025,9462,9928,10440,10989,11557,12138,12736,13337,13947,14657,15401,16163,16969,17722,18436,19262,20235,21259,22359,23356,24236,25181,26188,27229,28245,29366,30686,32071,33514,34998,36659,38558,40425,42570,45109
64,5521,5788,6063,6340,6613,6885,7158,7438,7739,8074,8436,8812,9223,9685,10192,10730,11288,11863,12447,13033,13643,14349,15078,15826,16615,17347,18149,19065,20021,21029,21939,22744,23600,24521,25513,26539,27588,28745,30030,31376,32740,34284,36061,37955,39814,41930
65,5250,5495,5748,6009,6272,6535,6793,7051,7318,7604,7907,8225,8580,8986,9442,9938,10465,11016,11575,12142,12725,13331,14024,14741,15471,16237,17050,17936,18834,19771,20600,21331,22115,22948,23854,24827,25880,26958,28078,29323,30594,32026,33685,35455,37338,39170
66,4977,5203,5435,5676,5924,6178,6428,6672,6918,7172,7430,7697,7997,8348,8748,9191,9676,10195,10728,11270,11834,12415,13009,13688,14387,15096,15933,16820,17686,18566,19338,20001,20709,21468,22285,23172,24169,25243,26283,27360,28536,29881,31426,33078,34835,36687
67,4701,4915,5129,5349,5578,5818,6061,6297,6531,6765,6994,7222,7472,7768,8112,8499,8932,9407,9906,10421,10959,11519,12089,12671,13334,14012,14785,15686,16553,17402,18128,18743,19384,20067,20811,21610,22515,23528,24561,25556,26574,27829,29286,30821,32456,34181
68,4410,4622,4825,5028,5238,5460,5690,5920,6148,6371,6582,6786,7001,7247,7536,7867,8243,8665,9120,9599,10110,10646,11195,11752,12321,12965,13698,14526,15408,16258,16960,17538,18131,18747,19415,20139,20954,21872,22840,23823,24767,25872,27234,28677,30193,31793
69,4103,4320,4520,4713,4908,5112,5324,5542,5763,5981,6185,6374,6566,6775,7015,7292,7611,7976,8377,8811,9288,9799,10324,10861,11404,11954,12645,13427,14237,15100,15812,16378,16933,17502,18104,18753,19488,20310,21184,22101,23040,24074,25282,26628,28048,29525
70,3777,4001,4207,4398,4584,4773,4969,5171,5382,5595,5794,5976,6153,6339,6543,6771,7036,7344,7690,8071,8504,8984,9483,9994,10516,11039,11633,12366,13129,13922,14655,15236,15778,16309,16863,17447,18104,18843,19622,20446,21325,22352,23481,24672,25991,27365
71,3440,3667,3881,4079,4263,4443,4625,4812,5008,5211,5407,5586,5755,5926,6107,6298,6515,6770,7059,7385,7768,8206,8671,9156,9652,10154,10715,11345,12060,12807,13479,14089,14644,15160,15677,16212,16799,17458,18157,18888,19679,20647,21761,22869,24028,25297
