Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
17,517878,540727,564122,588113,612739,637633,662337,686497,709946,732728,755035,777262,799657,822368,845734,869814,894145,917946,940500,961149,978889,992854,1003290,1008830,1011503,1014845,1018320,1022373,1027455,1032647,1036403,1040759,1046897,1053129,1058337,1063205,1068953,1076617,1086305,1094476,1099448,1102156,1101504,1097503,1092879,1089755
18,491168,513331,536062,559194,582981,607453,632215,656821,680896,704232,726846,748942,770888,792897,815135,837974,861511,885278,908452,930333,950304,967372,981013,991050,996634,999639,1002555,1006057,1010806,1016152,1020064,1024383,1030921,1037963,1043755,1049308,1056286,1063916,1073342,1083977,1092177,1097207,1099862,1098981,1094729,1089837
19,465298,486569,508595,531058,553982,577610,601941,626597,651111,675055,698203,720592,742401,763946,785465,807160,829444,852401,875517,897990,919158,938502,955234,968449,978532,984349,986827,989741,994070,999136,1002750,1007024,1013720,1021211,1027785,1033927,1041755,1050778,1060351,1070826,1081490,1089767,1094753,1097178,1096026,1091490
20,443964,460846,481982,503752,526014,548796,572303,596532,621094,645468,669220,692139,714236,735649,756715,777706,798868,820594,842919,865348,887119,907753,926770,943083,956339,966505,971712,974160,977953,982621,985637,989414,996105,1003762,1010804,1017729,1026186,1036107,1047104,1057746,1068251,1078997,1087229,1091989,1094143,1092685
21,425335,439763,456560,477457,499057,521198,543870,567290,591437,615866,640054,663580,686218,707935,728898,749468,769965,790607,811754,833450,855225,876567,896895,915513,931848,945057,954557,959672,962994,967123,969588,972600,978730,986340,993586,1000988,1010151,1020667,1032491,1044495,1055149,1065738,1076440,1084446,1088937,1090768
22,406214,421440,435809,452431,473191,494689,516746,539356,562709,586735,610990,634961,658224,680510,701814,722321,742442,762474,782596,803183,824291,845745,866800,886771,905383,921547,934106,943460,949353,952997,954915,957262,962479,969454,976721,984327,993824,1004947,1017211,1029943,1041944,1052676,1063211,1073692,1081433,1085581
23,388650,402660,417831,432068,448605,469295,490729,512743,535301,558552,582424,606481,630214,653160,675066,695968,716071,735780,755354,774988,795067,815946,837132,857868,877806,896156,911712,924099,934111,940279,941809,943551,947885,953864,960573,968203,977730,989038,1001731,1014787,1027485,1039550,1050221,1060540,1070756,1078137
24,372516,385426,399399,414450,428644,445165,465810,487217,509197,531672,554787,578482,602330,625779,648389,669937,690481,710226,729543,748690,767895,787812,808444,829346,850027,869636,887450,902832,915768,925985,930189,931508,935007,940026,945811,952884,962246,973424,986117,999469,1012470,1025218,1037187,1047640,1057708,1067545
25,357740,369592,382483,396361,411380,425590,442107,462739,484124,506034,528397,551365,574883,598481,621637,643928,665169,685399,704806,723757,742543,761638,781330,801713,822535,842849,862006,879658,895475,908571,916995,920954,923807,927906,932797,938960,947581,958433,970815,984054,997333,1010352,1022977,1034726,1044935,1054608
26,343966,355079,366930,379748,393619,408657,422886,439424,460046,481375,503189,525427,548245,571552,594899,617780,639805,660778,680714,699812,718452,737168,756051,775529,795817,816256,836193,855212,873206,889141,900636,908792,914046,917429,921462,926745,934286,944248,956137,968958,982103,995372,1008242,1020636,1032150,1041955
27,331150,341537,352662,364457,377282,391191,406243,420510,437064,457648,478896,500607,522720,545365,568458,591570,614226,636021,656739,676405,695237,713834,732348,751043,770415,790318,810457,830281,849557,867631,882161,893383,902625,908327,911700,916136,922639,931386,942235,954473,967184,980292,993384,1006024,1018197,1029296
28,320015,328917,339321,350407,362224,375097,389030,404118,418418,434959,455473,476637,498247,520216,542680,565580,588499,610958,632534,653016,672455,691261,709663,728009,746591,765584,785252,805291,825307,844635,861482,875751,887893,897506,903233,907017,912536,920113,929611,940734,952850,965508,978421,991287,1003720,1015471
29,309497,317939,326878,337252,348365,360239,373144,387116,402236,416536,433040,453480,474564,496046,517868,540171,562910,585668,607938,629308,649591,669013,687630,705878,724099,742316,761125,780714,800889,820936,839202,855811,870850,883313,892976,899106,903850,910320,918534,928247,939239,951291,963745,976438,989104,1001115
30,298645,307561,316036,324956,335372,346544,358452,371400,385408,400530,414804,431264,451639,472615,493981,515664,537836,560442,583034,605121,626318,646584,665826,684304,702425,720296,738370,757112,776786,796974,816109,834169,851432,866752,879282,889329,896298,901876,908886,917266,926850,937778,949613,961856,974369,986620
31,288116,296826,305775,314242,323207,333680,344892,356847,369833,383850,398949,413191,429606,449898,470772,492024,513600,535663,558127,580565,602495,623670,643772,662879,681228,699016,716776,734789,753579,773259,792672,811628,830245,847756,863149,876047,886817,894509,900551,907688,915946,925458,936174,947809,959892,971989
32,278334,286402,295142,304081,312592,321628,332140,343395,355388,368392,382392,397461,411678,428035,448243,469023,490182,511670,533617,555940,578235,600148,621169,641144,660120,678149,695850,713556,731588,750379,769397,788662,808098,826928,844520,860263,873780,885178,893262,899404,906424,914613,923916,934441,945934,957610
33,269332,276703,284807,293537,302521,311102,320178,330730,342028,354042,367032,381011,396057,410231,426527,446654,467362,488452,509838,531660,553862,576138,597906,618808,638642,657322,675284,692934,710626,728656,746890,765786,785463,805079,823999,841915,858191,872257,883983,892144,898181,905139,913114,922241,932639,943734
34,260937,267772,275185,283280,292058,301097,309719,318835,329436,340750,352759,365730,379694,394705,408834,425076,445141,465791,486793,508068,529775,551963,574103,595760,616525,636078,654700,672610,690227,707917,725479,743612,762867,782696,802405,821618,839994,856747,871090,882876,890942,896917,903664,911474,920488,930500
