Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
80,22498,23450,24468,25628,27046,28743,30659,32784,35056,37366,39563,41565,43395,45027,46493,47889,49291,50757,52216,53621,54961,56257,57528,58774,60073,61504,63203,65292,67746,70550,73747,77205,80708,84152,87595,90986,94387,98330,102307,106270,110402,114162,117661,121065,124467,127790
81,19841,20683,21540,22490,23646,25043,26627,28446,30483,32646,34799,36859,38791,40514,42016,43366,44687,46052,47419,48789,50146,51471,52742,53918,55060,56238,57595,59285,61321,63716,66539,69686,72958,76215,79488,82733,85952,89193,92888,96604,100281,104199,107745,111004,114140,117163
82,17343,18118,18871,19665,20613,21757,23051,24548,26289,28216,30218,32223,34194,35999,37580,38954,40225,41502,42763,44039,45353,46688,47981,49150,50221,51247,52358,53719,55367,57359,59780,62554,65515,68535,71615,74685,77752,80804,83819,87247,90672,94147,97822,101111,104090,106848
83,14992,15721,16409,17101,17897,18840,19894,21111,22542,24177,25947,27803,29709,31535,33181,34615,35897,37121,38291,39464,40683,41964,43258,44439,45495,46451,47414,48535,49869,51487,53507,55887,58484,61197,64033,66904,69786,72687,75503,78280,81422,84637,87880,91267,94253,96855
84,12796,13483,14126,14753,15449,16238,17096,18089,19249,20588,22084,23710,25459,27211,28861,30349,31678,32898,34010,35087,36202,37385,38617,39793,40856,41797,42687,43656,44762,46074,47732,49725,51936,54291,56826,59451,62135,64843,67500,70075,72589,75524,78507,81474,84535,87130
85,10774,11410,12012,12588,13219,13901,14621,15427,16366,17448,18657,20022,21548,23141,24715,26196,27558,28806,29912,30926,31943,33024,34155,35269,36317,37256,38121,39018,39980,41069,42429,44068,45902,47887,50072,52398,54842,57344,59808,62220,64536,66875,69575,72283,74934,77583
86,8937,9518,10068,10606,11181,11792,12408,13076,13839,14712,15679,16778,18049,19426,20846,22245,23591,24852,25975,26971,27923,28903,29927,30943,31927,32846,33705,34571,35448,36393,37535,38886,40381,42013,43842,45830,47977,50242,52501,54721,56872,59008,61143,63573,65966,68231
87,7302,7816,8314,8805,9326,9877,10425,10996,11625,12327,13099,13974,14989,16129,17343,18590,19850,21083,22207,23211,24132,25041,25961,26876,27762,28618,29450,30300,31135,31994,32991,34131,35349,36661,38145,39796,41614,43594,45622,47637,49599,51567,53501,55397,57526,59544
88,5874,6313,6751,7187,7656,8156,8644,9143,9676,10250,10871,11559,12362,13261,14255,15312,16424,17561,18648,19644,20559,21431,22280,23091,23881,24641,25408,26219,27029,27839,28746,29729,30751,31799,32984,34311,35809,37475,39229,41017,42782,44558,46326,48027,49658,51429
89,4645,5019,5390,5768,6179,6620,7053,7497,7958,8439,8944,9486,10114,10818,11595,12448,13378,14374,15367,16317,17214,18063,18863,19605,20299,20968,21645,22385,23145,23915,24763,25661,26529,27392,28330,29374,30569,31927,33387,34914,36462,38046,39624,41161,42607,43931
90,3614,3920,4229,4545,4896,5277,5659,6043,6446,6862,7273,7707,8202,8749,9345,9999,10746,11567,12426,13279,14127,14943,15718,16412,17039,17624,18208,18855,19550,20271,21051,21868,22653,23382,24142,24965,25894,26969,28137,29392,30700,32074,33468,34822,36111,37272
91,2756,3008,3260,3517,3807,4127,4449,4782,5126,5485,5834,6187,6581,7002,7459,7955,8515,9165,9863,10592,11350,12106,12839,13500,14086,14614,15113,15665,16274,16930,17634,18371,19083,19727,20366,21023,21748,22575,23483,24473,25533,26679,27875,29059,30181,31200
92,2056,2258,2459,2671,2902,3162,3427,3704,3996,4299,4596,4891,5207,5536,5883,6257,6675,7162,7704,8289,8921,9586,10255,10871,11425,11906,12350,12819,13336,13904,14532,15188,15817,16395,16956,17497,18062,18703,19394,20149,20967,21886,22870,23872,24832,25707
93,1499,1656,1818,1982,2168,2370,2583,2807,3049,3299,3546,3792,4052,4315,4576,4857,5167,5524,5925,6372,6871,7418,7997,8547,9056,9504,9905,10313,10746,11217,11755,12331,12882,13387,13879,14342,14812,15305,15826,16392,17003,17702,18478,19286,20085,20821
94,1065,1188,1310,1440,1582,1738,1901,2078,2271,2468,2672,2875,3088,3296,3504,3712,3941,4201,4488,4812,5188,5614,6081,6550,6999,7406,7773,8131,8496,8888,9329,9813,10288,10724,11147,11549,11943,12340,12740,13152,13599,14113,14696,15322,15953,16551
95,738,827,920,1019,1127,1247,1369,1503,1648,1805,1963,2126,2297,2466,2630,2787,2954,3144,3349,3576,3845,4158,4517,4887,5260,5613,5939,6259,6576,6900,7257,7651,8040,8411,8769,9105,9440,9773,10081,10391,10709,11077,11499,11961,12436,12897
96,500,564,628,700,781,866,960,1059,1168,1286,1404,1530,1663,1795,1924,2046,2173,2306,2451,2613,2797,3017,3277,3555,3842,4130,4408,4684,4956,5231,5523,5831,6140,6437,6734,7017,7293,7569,7818,8056,8289,8549,8843,9167,9506,9840
97,329,374,418,468,525,589,657,726,803,888,978,1070,1171,1269,1368,1464,1558,1655,1758,1867,1992,2146,2319,2520,2730,2949,3168,3394,3626,3851,4090,4338,4579,4807,5040,5269,5492,5713,5919,6110,6279,6467,6667,6884,7117,7348
98,209,240,271,304,342,386,435,484,539,598,660,728,800,874,946,1018,1088,1161,1230,1308,1390,1492,1607,1742,1887,2042,2206,2382,2563,2747,2941,3135,3320,3493,3671,3843,4022,4198,4360,4508,4640,4775,4916,5061,5211,5361
99,130,148,168,191,214,248,276,311,351,390,432,479,527,582,633,683,735,788,836,890,944,1012,1087,1170,1267,1371,1485,1612,1743,1888,2040,2192,2336,2466,2592,2722,2852,2989,3110,3227,3330,3431,3530,3625,3725,3814
100,77,89,102,115,132,151,169,194,218,246,275,301,338,370,410,441,478,516,551,585,626,666,719,769,828,896,966,1056,1142,1245,1359,1473,1581,1682,1774,1864,1958,2057,2152,2233,2312,2384,2456,2524,2586,2640
101,48,51,57,67,75,89,102,115,130,148,167,185,206,229,252,273,300,324,348,371,398,424,457,490,527,565,612,662,723,791,867,950,1028,1103,1169,1233,1296,1364,1429,1491,1545,1599,1651,1696,1738,1772
102,24,30,31,37,42,50,59,64,76,84,98,110,122,136,151,165,179,197,212,227,243,262,277,302,323,344,371,402,438,484,531,586,640,689,739,782,824,869,911,952,993,1029,1064,1097,1121,1144
103,12,14,22,19,23,26,32,37,41,45,55,59,69,76,86,92,101,115,124,132,141,153,164,174,191,202,218,234,257,282,310,345,377,412,442,475,503,527,558,582,606,630,658,676,693,709
104,7,7,9,9,11,14,15,18,25,24,27,37,36,40,46,51,55,60,70,72,78,84,92,98,107,112,122,131,142,158,172,191,211,232,253,270,290,307,324,335,353,370,383,397,409,417
105,3,3,4,4,8,6,7,9,10,11,13,20,17,19,22,26,31,32,34,43,41,44,48,52,56,60,64,70,73,84,91,100,111,125,135,147,157,166,178,186,195,203,213,222,227,233
106,1,2,2,2,2,3,3,4,5,5,7,7,8,9,14,12,15,15,16,18,20,21,23,28,28,30,32,36,40,41,44,50,55,61,68,73,80,85,90,96,102,107,110,115,118,121
107,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,6,6,7,8,8,9,10,12,11,12,15,15,19,17,21,24,22,25,31,31,33,37,40,47,46,48,51,55,60,59,61
108,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,6,4,6,5,5,6,6,8,8,9,9,10,11,15,13,15,16,18,22,20,21,22,27,26,27,29
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,2,3,3,3,3,3,4,5,6,5,6,6,7,9,9,9,9,10,13,11,12
