Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
84,10737,11220,11679,12131,12596,13118,13710,14386,15189,16122,17155,18278,19480,20704,21895,22958,23901,24767,25528,26246,27003,27804,28634,29462,30242,30958,31669,32440,33294,34310,35598,37134,38821,40620,42574,44632,46726,48828,50855,52753,54539,56595,58743,60913,63149,65017
85,9058,9514,9946,10366,10783,11227,11713,12250,12889,13623,14443,15374,16411,17514,18643,19697,20662,21541,22282,22948,23623,24336,25081,25850,26604,27304,27978,28674,29404,30241,31272,32519,33903,35396,37057,38851,40723,42638,44487,46233,47852,49447,51371,53341,55271,57186
86,7527,7959,8360,8754,9136,9536,9945,10379,10885,11467,12109,12846,13693,14641,15646,16638,17585,18470,19223,19869,20488,21122,21777,22460,23162,23831,24476,25135,25795,26510,27363,28367,29476,30690,32056,33570,35187,36889,38558,40133,41608,43045,44536,46283,48018,49655
87,6157,6549,6927,7292,7645,8006,8371,8737,9144,9602,10104,10674,11340,12111,12968,13843,14722,15579,16337,16986,17580,18155,18738,19336,19952,20564,21182,21809,22427,23065,23799,24624,25509,26468,27566,28807,30161,31621,33085,34492,35808,37106,38440,39784,41308,42766
88,4952,5299,5645,5979,6304,6633,6958,7281,7622,7991,8381,8824,9334,9936,10626,11363,12135,12924,13650,14293,14883,15429,15950,16476,17012,17546,18106,18696,19279,19871,20525,21237,21956,22706,23570,24553,25653,26860,28099,29323,30486,31639,32827,34019,35178,36442
89,3916,4216,4519,4818,5112,5411,5706,5991,6287,6597,6903,7239,7636,8095,8631,9213,9852,10538,11200,11816,12395,12925,13416,13881,14347,14806,15292,15824,16365,16919,17515,18142,18751,19353,20023,20792,21657,22623,23639,24659,25656,26657,27703,28756,29770,30706
90,3040,3293,3551,3811,4071,4338,4598,4853,5114,5375,5630,5894,6195,6548,6951,7399,7897,8460,9027,9582,10125,10640,11112,11542,11952,12347,12762,13217,13702,14206,14756,15325,15858,16359,16891,17477,18143,18905,19698,20510,21330,22184,23084,24000,24887,25697
91,2313,2521,2736,2952,3175,3407,3638,3862,4090,4316,4533,4748,4981,5247,5551,5884,6259,6699,7157,7625,8106,8585,9035,9440,9815,10164,10512,10899,11309,11755,12249,12763,13244,13672,14108,14561,15073,15655,16262,16879,17524,18222,18980,19759,20518,21220
92,1722,1890,2065,2240,2425,2621,2821,3012,3211,3404,3587,3769,3956,4160,4388,4633,4913,5237,5587,5956,6358,6778,7188,7570,7917,8230,8533,8858,9200,9576,10002,10460,10886,11266,11639,12006,12398,12837,13290,13745,14223,14764,15376,16025,16662,17252
93,1250,1385,1523,1662,1811,1973,2135,2302,2469,2631,2788,2939,3094,3252,3428,3608,3808,4045,4299,4580,4893,5232,5587,5928,6253,6540,6809,7083,7367,7673,8032,8420,8793,9130,9451,9761,10069,10402,10732,11066,11408,11801,12272,12790,13308,13796
94,887,994,1095,1205,1324,1447,1580,1713,1851,1991,2119,2245,2372,2503,2635,2771,2918,3084,3266,3465,3696,3962,4244,4535,4815,5075,5318,5557,5794,6048,6335,6652,6968,7255,7534,7799,8057,8315,8561,8789,9030,9307,9647,10036,10446,10834
95,616,688,770,850,939,1036,1141,1244,1357,1467,1573,1677,1777,1884,1988,2094,2197,2318,2441,2582,2743,2937,3152,3381,3615,3841,4053,4261,4463,4670,4904,5156,5410,5648,5882,6107,6324,6536,6721,6883,7042,7233,7472,7742,8045,8345
96,416,469,527,585,651,723,799,879,965,1052,1136,1220,1303,1386,1471,1548,1629,1713,1799,1891,2008,2136,2289,2459,2637,2824,3001,3185,3356,3527,3713,3913,4114,4296,4490,4673,4856,5030,5176,5295,5402,5526,5685,5876,6083,6295
97,275,310,349,393,438,491,546,608,666,734,799,863,929,993,1055,1119,1179,1239,1302,1363,1435,1525,1628,1747,1879,2016,2162,2307,2454,2595,2743,2900,3053,3195,3341,3488,3634,3778,3895,3988,4063,4144,4247,4374,4513,4655
98,174,200,227,252,286,323,360,404,447,497,544,594,641,691,740,787,830,875,921,962,1011,1068,1133,1212,1306,1397,1506,1619,1734,1850,1967,2092,2209,2316,2425,2534,2646,2759,2853,2929,2984,3040,3106,3188,3272,3366
99,107,122,142,159,182,207,229,262,289,323,358,394,429,463,501,534,568,600,631,660,694,729,772,824,880,946,1017,1097,1183,1277,1368,1465,1552,1632,1714,1791,1871,1956,2030,2086,2130,2172,2215,2267,2321,2376
100,65,74,84,98,108,126,143,163,179,205,226,252,277,299,326,350,374,397,420,439,462,487,513,542,582,621,667,721,782,845,916,986,1053,1114,1171,1229,1285,1345,1397,1439,1472,1503,1532,1570,1599,1633
101,38,42,48,58,64,74,85,95,109,125,138,155,172,188,207,221,236,254,270,281,298,312,330,350,368,395,422,458,496,541,587,639,686,730,772,812,852,887,928,954,982,1004,1027,1050,1071,1086
102,19,29,27,29,36,41,47,53,65,70,82,88,102,111,123,133,146,153,163,175,182,194,205,213,231,243,258,279,304,327,364,395,430,460,485,517,540,569,590,610,627,646,661,676,692,699
103,10,12,16,16,18,22,27,32,34,38,45,49,57,63,68,78,83,90,96,103,108,114,120,127,135,143,151,164,178,195,212,233,254,275,297,310,330,347,362,371,386,395,407,417,427,434
104,5,6,11,8,9,12,12,14,18,19,23,31,30,34,37,41,43,51,52,57,61,65,67,72,78,80,85,92,99,108,120,129,144,155,169,180,190,202,209,217,223,230,240,244,250,255
105,3,3,3,4,4,5,6,10,8,9,11,15,15,17,19,24,23,24,32,30,32,34,37,38,42,43,45,48,53,57,62,68,76,82,90,98,103,110,114,119,123,129,131,136,138,141
106,1,2,2,2,2,2,3,3,4,4,5,6,10,9,9,10,11,12,13,14,16,17,18,24,20,22,23,26,29,29,30,34,37,44,44,49,54,57,58,62,66,67,68,70,73,75
107,0,0,1,1,1,1,1,1,1,2,4,2,3,3,4,4,6,5,6,6,7,8,10,9,10,12,11,16,13,13,15,16,18,22,22,23,25,27,31,30,31,32,36,38,35,36
108,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,4,3,4,5,4,5,6,6,6,6,6,9,8,9,11,11,12,12,14,15,14,14,18,16,16,19
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,2,2,3,3,4,4,3,3,5,4,5,7,6,6,7,7,6,7,7
