Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
17,520994,543417,566899,590514,614616,638881,662932,686431,709208,731200,752531,773524,794431,815517,837222,859688,882528,905020,926820,946965,964066,977982,987967,991688,992748,995344,998450,1002295,1006775,1011553,1016970,1026098,1037628,1046924,1053131,1058148,1065810,1077931,1094377,1109973,1120325,1126387,1127450,1124975,1122097,1119721
18,491928,513078,535093,557999,581091,604781,628712,652427,675540,697780,719117,739703,759875,779930,800156,821010,842700,864800,886444,907311,926530,943432,956762,964746,967909,969138,970789,973187,976469,980433,984878,993720,1006708,1018328,1026052,1031754,1040611,1052973,1069680,1089443,1105783,1116672,1122338,1123052,1120461,1117316
19,463807,484580,505369,526870,549316,572069,595475,619108,642459,665045,686634,707245,727042,746410,765669,785113,805268,826278,847582,868353,888332,907540,924040,935387,942658,945703,945816,946459,948263,950795,953433,960989,973903,986853,996645,1003628,1013288,1027139,1044300,1064474,1084976,1101869,1112283,1117538,1118129,1115235
20,440948,457306,477768,498132,519276,541471,564020,587194,610503,633364,655333,676239,696127,715208,733874,752442,771285,790859,811178,831715,851713,871811,890766,905495,916064,922920,924760,923713,923776,924677,925129,930385,941921,954728,965799,974708,985483,1000097,1018597,1039098,1059956,1080979,1097318,1107260,1112384,1112640
21,421774,435274,451437,471558,491653,512644,534708,557094,579997,602875,625166,646506,666765,686019,704497,722575,740639,759004,778005,797686,817571,837750,857715,875199,889150,899104,904749,905344,903751,902855,901241,903780,912729,924148,935216,945383,957733,973166,992065,1013604,1034689,1056019,1076420,1092220,1102031,1106785
22,402779,416830,430217,446146,466075,486094,507022,528976,551150,573677,596038,617762,638527,658233,676976,694953,712610,730287,748184,766664,785827,805906,826030,844843,861589,874808,883637,888026,888073,885550,881977,881955,887799,896673,906605,916852,930042,946605,965841,987397,1009397,1030887,1051551,1071371,1087034,1096435
23,385446,398469,412432,425665,441506,461402,481416,502274,524060,545908,567974,589828,611046,631338,650613,668927,686555,703902,721194,738673,756751,776099,796172,815422,833563,849537,861749,869407,873247,872376,867209,864817,867676,873502,881194,890460,903324,920241,940088,961583,983470,1005785,1026586,1046647,1066326,1081535
24,369592,381657,394623,408467,421669,437550,457471,477444,498174,519678,541116,562740,584153,604960,624890,643800,661823,679203,696233,713190,730363,748613,767984,787404,806066,823449,838550,849707,856854,859799,856396,852071,852141,855047,860001,867217,878732,894853,914571,936301,957996,980098,1001706,1021880,1041810,1061001
25,355072,366220,378263,391141,404976,418258,434203,454098,473969,494460,515597,536651,557893,578961,599468,619087,637751,655579,672697,689458,706177,723500,741793,760694,779597,797543,814202,828384,839074,845386,845946,843072,840834,841018,843335,848008,857178,871536,890024,911280,933078,954888,976277,997245,1017294,1036723
26,341493,352035,363177,375164,388057,401972,415344,431298,451106,470772,490946,511742,532468,553421,574243,594482,613898,632408,650014,666911,683490,700346,717721,735676,754133,772385,789739,805619,819385,829306,833424,834253,833100,831037,830885,833107,839490,851134,867480,887220,908426,930239,951336,972087,992927,1012464
