Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,20,33971,36510,39799,43269,46825,50731,54785,59072,63571,68214,72938,76910,80045,83112,86147,89203,92301,95506,98871,102351,105860,109411,113158,116512,119253,121591,123396,124280,125175,126357,127481,127539,128984,130770,132567,133880,135079,136400,138135,140488,142734,145581,148201,149679,150552,150723,150278
Hombres,21,32446,35097,37669,40991,44496,48093,52060,56169,60513,65051,69708,73685,76868,79966,83006,86011,89039,92126,95315,98646,102093,105683,109418,113055,116242,119039,121229,122754,123439,124371,125239,124965,125985,127490,129195,130606,132062,133505,135226,137585,139986,142678,145529,147866,149448,150146,150346
Hombres,22,31096,33611,36306,38896,42261,45818,49482,53513,57683,62074,66636,70597,73826,76979,80055,83070,86052,89072,92143,95307,98611,102154,105912,109573,113097,116306,118971,120891,122209,122955,123556,122996,123582,124659,126096,127469,128993,130558,132372,134629,137031,139924,142619,145175,147616,149023,149747
Hombres,23,29913,32288,34846,37571,40188,43613,47243,50970,55069,59292,63715,67618,70872,74076,77211,80269,83263,86240,89248,92296,95436,98852,102549,106262,109847,113371,116467,118879,120611,122002,122426,121593,121779,122423,123445,124615,126078,127577,129474,131735,134029,136959,139849,142242,144909,147181,148610
Hombres,24,28855,31114,33533,36121,38886,41545,45045,48745,52539,56694,60952,64753,67986,71218,74410,77528,80569,83557,86524,89509,92539,95809,99358,103026,106695,110268,113696,116568,118816,120625,121720,120713,120522,120760,121367,122188,123435,124746,126542,128803,131097,133950,136872,139458,141967,144466,146754
Hombres,25,27919,30052,32353,34803,37432,40247,42959,46529,50297,54146,58343,62009,65170,68386,71609,74787,77889,80926,83905,86849,89820,92998,96382,99914,103564,107207,110700,113938,116673,118998,120543,120222,119756,119613,119837,120304,121199,122178,123759,125842,128133,131003,133842,136466,139168,141516,144029
Hombres,26,27024,29097,31270,33602,36091,38770,41645,44403,48044,51871,55757,59392,62447,65591,68798,72009,75173,78274,81301,84259,87189,90330,93602,96980,100508,104124,107705,111036,114158,116973,119070,119224,119348,118935,118797,118933,119476,120002,121228,123032,125147,128025,130881,133430,136164,138718,141076
Hombres,27,26226,28171,30285,32487,34856,37390,40127,43058,45859,49556,53428,56770,59821,62860,65999,69196,72392,75557,78648,81656,84601,87719,90936,94211,97593,101087,104648,108099,111339,114539,117156,117899,118422,118595,118203,118024,118239,118328,119078,120480,122313,125022,127882,130457,133116,135712,138268
Hombres,28,25573,27333,29316,31457,33693,36107,38697,41486,44466,47302,51043,54394,57175,60210,63243,66373,69558,72754,75910,78984,81977,85130,88314,91537,94819,98164,101609,105070,108450,111763,114800,116101,117149,117720,117926,117531,117439,117125,117421,118309,119742,122173,124862,127451,130131,132661,135256
Hombres,29,24834,26638,28428,30436,32611,34888,37354,39989,42823,45846,48701,51944,54756,57521,60553,63580,66697,69882,73072,76210,79269,82490,85697,88885,92122,95364,98667,102042,105447,108896,112076,113838,115392,116483,117099,117327,117027,116344,116230,116631,117557,119580,121990,124423,127117,129674,132196
Hombres,30,24073,25847,27682,29492,31530,33745,36069,38576,41256,44128,47177,49534,52258,55057,57817,60843,63856,66975,70154,73329,76456,79753,83017,86229,89434,92630,95836,99099,102431,105906,109243,111194,113164,114758,115901,116559,116883,115949,115454,115423,115870,117379,119383,121551,124079,126660,129204
Hombres,31,23328,25026,26832,28689,30524,32597,34857,37219,39764,42477,45375,47947,49793,52505,55301,58056,61071,64086,67201,70366,73531,76902,80238,83508,86736,89902,93066,96263,99493,102892,106273,108425,110546,112556,114204,115405,116157,115815,115064,114641,114663,115680,117169,118942,121200,123625,126186
Hombres,32,22625,24220,25949,27777,29659,31524,33636,35930,38325,40903,43637,46070,48149,49983,52692,55485,58230,61247,64257,67359,70516,73932,77334,80678,83966,87157,90294,93481,96659,99950,103277,105512,107801,109957,112024,113741,115032,115109,114940,114247,113890,114458,115456,116732,118592,120755,123159
Hombres,33,21944,23457,25081,26829,28680,30594,32488,34630,36959,39381,41975,44258,46216,48284,50115,52821,55605,58353,61367,64367,67463,70869,74311,77726,81086,84342,87511,90703,93876,97110,100342,102556,104904,107229,109440,111581,113388,114014,114254,114135,113515,113673,114226,115025,116384,118162,120303
Hombres,34,21285,22721,24258,25897,27665,29545,31491,33411,35578,37929,40366,42523,44348,46298,48365,50191,52890,55677,58423,61428,64426,67769,71200,74653,78086,81418,84652,87907,91091,94318,97508,99658,101963,104344,106723,109015,111239,112404,113186,113468,113425,113287,113433,113805,114686,115973,117729
